size,density,noise_level,negative_values,execution_time,reachable_nodes,unreachable_nodes,avg_distance,max_distance,min_distance
500,0.2,0.8,True,0.05254244804382324,487,0,23.22381930184805,137.0,1.0
500,0.5,0,False,0.0589594841003418,499,0,460.32264529058114,903.0,19.0
500,0.5,0,True,0.05744791030883789,499,0,460.32264529058114,903.0,19.0
500,0.5,0.1,False,0.05950927734375,499,0,498.9899799599198,917.0,32.0
500,0.5,0.1,True,0.06128358840942383,493,0,37.11967545638945,139.0,1.0
500,0.5,0.5,False,0.06138420104980469,499,0,600.1663326653306,1043.0,83.0
500,0.5,0.5,True,0.06405949592590332,475,0,10.812631578947368,51.0,1.0
500,0.5,0.8,False,0.0596308708190918,499,0,662.7955911823648,1122.0,122.0
500,0.5,0.8,True,0.059539794921875,463,0,9.557235421166308,51.0,1.0
500,0.8,0,False,0.06627297401428223,499,0,458.86573146292585,903.0,19.0
500,0.8,0,True,0.06755304336547852,499,0,458.86573146292585,903.0,19.0
500,0.8,0.1,False,0.07111001014709473,499,0,488.0260521042084,910.0,32.0
500,0.8,0.1,True,0.06952786445617676,483,0,21.358178053830226,100.0,1.0
500,0.8,0.5,False,0.06866025924682617,499,0,565.8577154308617,970.0,83.0
500,0.8,0.5,True,0.0723123550415039,442,0,6.717194570135747,36.0,1.0
500,0.8,0.8,False,0.06764650344848633,499,0,614.4348697394789,1002.0,122.0
500,0.8,0.8,True,0.07162284851074219,452,0,5.685840707964601,27.0,1.0
500,1.0,0,False,0.07563638687133789,499,0,458.6012024048096,902.0,19.0
500,1.0,0,True,0.07447981834411621,499,0,458.6012024048096,902.0,19.0
500,1.0,0.1,False,0.07551288604736328,499,0,484.8877755511022,910.0,32.0
500,1.0,0.1,True,0.07916545867919922,480,0,18.116666666666667,107.0,1.0
500,1.0,0.5,False,0.07641911506652832,499,0,554.5110220440881,958.0,83.0
500,1.0,0.5,True,0.07625150680541992,448,0,5.517857142857143,28.0,1.0
500,1.0,0.8,False,0.07230806350708008,499,0,597.8356713426854,992.0,122.0
500,1.0,0.8,True,0.07718610763549805,421,0,4.838479809976247,30.0,1.0
1000,0.2,0,False,0.20128822326660156,999,0,460.6306306306306,910.0,61.0
1000,0.2,0,True,0.20734858512878418,999,0,460.6306306306306,910.0,61.0
1000,0.2,0.1,False,0.21464157104492188,999,0,523.4214214214214,962.0,93.0
1000,0.2,0.1,True,0.20449066162109375,988,0,44.913967611336034,146.0,1.0
1000,0.2,0.5,False,0.2033548355102539,999,0,665.6536536536537,1104.0,132.0
1000,0.2,0.5,True,0.20236539840698242,963,0,13.87123572170301,90.0,1.0
1000,0.2,0.8,False,0.20283985137939453,999,0,739.8968968968969,1142.0,135.0
1000,0.2,0.8,True,0.2056434154510498,958,0,12.324634655532359,73.0,1.0
1000,0.5,0,False,0.2474050521850586,999,0,453.2872872872873,909.0,19.0
1000,0.5,0,True,0.2472085952758789,999,0,453.2872872872873,909.0,19.0
1000,0.5,0.1,False,0.24481201171875,999,0,488.5175175175175,930.0,85.0
1000,0.5,0.1,True,0.24495315551757812,971,0,16.613800205973224,77.0,1.0
1000,0.5,0.5,False,0.24131274223327637,999,0,567.005005005005,974.0,110.0
1000,0.5,0.5,True,0.24834251403808594,882,0,5.73922902494331,33.0,1.0
1000,0.5,0.8,False,0.2499685287475586,999,0,610.6546546546547,1011.0,124.0
1000,0.5,0.8,True,0.2516767978668213,886,0,4.655756207674943,27.0,1.0
1000,0.8,0,False,0.2841470241546631,999,0,452.4954954954955,909.0,9.0
1000,0.8,0,True,0.2942514419555664,999,0,452.4954954954955,909.0,9.0
1000,0.8,0.1,False,0.29596781730651855,999,0,476.76276276276275,924.0,73.0
1000,0.8,0.1,True,0.3015575408935547,944,0,10.873940677966102,58.0,1.0
1000,0.8,0.5,False,0.2930717468261719,999,0,534.2162162162163,954.0,110.0
1000,0.8,0.5,True,0.2905116081237793,813,0,3.5313653136531364,28.0,1.0
1000,0.8,0.8,False,0.2946288585662842,999,0,567.058058058058,991.0,124.0
1000,0.8,0.8,True,0.30249547958374023,799,0,2.959949937421777,15.0,1.0
1000,1.0,0,False,0.3445556163787842,999,0,452.34334334334335,908.0,9.0
1000,1.0,0,True,0.34764790534973145,999,0,452.34334334334335,908.0,9.0
1000,1.0,0.1,False,0.31806182861328125,999,0,472.03403403403405,924.0,51.0
1000,1.0,0.1,True,0.32634592056274414,935,0,8.557219251336898,46.0,1.0
1000,1.0,0.5,False,0.3162672519683838,999,0,518.1481481481482,949.0,83.0
1000,1.0,0.5,True,0.3174760341644287,772,0,2.866580310880829,18.0,1.0
1000,1.0,0.8,False,0.31336450576782227,999,0,545.3963963963964,970.0,104.0
1000,1.0,0.8,True,0.3226962089538574,718,0,2.4442896935933147,14.0,1.0
